,user,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages,LikedPages
0,https://www.facebook.com/taictran?ref=br_rs,Team USA : https://www.facebook.com/TeamUSA/,Samsung US : https://www.facebook.com/SamsungUS/,Travis Kalanick : https://www.facebook.com/traviskal/,Tasty : https://www.facebook.com/buzzfeedtasty/,Business Insider : https://www.facebook.com/businessinsider/,innocent : https://www.facebook.com/innocent.drinks/,Alice Walker : https://www.facebook.com/authoralicewalker/,,,,,,
1,https://www.facebook.com/nathan.berrebbi?ref=br_rs,Bacardi : https://www.facebook.com/bacardi/,Manchester City : https://www.facebook.com/mancity/,UC Berkeley : https://www.facebook.com/UCBerkeley/,,,,,,,,,,
2,https://www.facebook.com/serenayan0919?ref=br_rs,NBA : https://www.facebook.com/nba/,SpongeBob SquarePants : https://www.facebook.com/spongebob/,Nickelodeon : https://www.facebook.com/nickelodeon/,Tennis on Facebook : https://www.facebook.com/tennis/,,,,,,,,,
3,https://www.facebook.com/bradleywolfe?ref=br_rs,Sepideh Moafi : https://www.facebook.com/SepidehMoafi/,The Seattle Times : https://www.facebook.com/seattletimes/,Temple Of The Dog : https://www.facebook.com/TempleofTheDog/,Pavement The Rock Band : https://www.facebook.com/pavementtherockband/,,,,,,,,,
4,https://www.facebook.com/ali.kelley.94?ref=br_rs,LARABAR : https://www.facebook.com/Larabar/,Yoplait : https://www.facebook.com/Yoplait/,Annie's Homegrown : https://www.facebook.com/annieshomegrown/,Bolthouse Farms : https://www.facebook.com/bolthousefarms/,Upworthy : https://www.facebook.com/Upworthy/,,,,,,,,
5,https://www.facebook.com/emmazhu?ref=br_rs,The Atlas of Beauty : https://www.facebook.com/MihaelaNorocPhoto/,PlayGround + : https://www.facebook.com/playgroundenglish/,Les Miserables - Musical : https://www.facebook.com/lesmisofficial/,Amazon Books : https://www.facebook.com/Amazon.comBooks/,,,,,,,,,
6,https://www.facebook.com/lynn.lacollabarnsback?ref=br_rs,NBC Olympics : https://www.facebook.com/nbcolympics/,Bill Maher : https://www.facebook.com/Maher/,Project Repat : https://www.facebook.com/ProjectRepat/,Patch : https://www.facebook.com/Patch/,,,,,,,,,
7,https://www.facebook.com/abha.maheshwari?ref=br_rs,Melinda Gates : https://www.facebook.com/melindagates/,Sapna Reddy Photography : https://www.facebook.com/sapnareddyphotography/,Sierra Trading Post : https://www.facebook.com/sierratradingpost/,Wayfair : https://www.facebook.com/wayfair/,Brand Networks : https://www.facebook.com/brandnetworks/,Oracle Marketing Cloud : https://www.facebook.com/OracleMarketingCloud/,Adobe Marketing Cloud : https://www.facebook.com/AdobeMarketingCloud/,Offerpop : https://www.facebook.com/offerpop/,Facebook Business : https://www.facebook.com/marketingchinese/,,,,
8,https://www.facebook.com/n7t7n?ref=br_rs,,,,,,,,,,,,,
9,https://www.facebook.com/abbey.breshears?ref=br_rs,Neutrogena : https://www.facebook.com/neutrogena/,PureWow : https://www.facebook.com/PureWow/,Jimmy Fallon : https://www.facebook.com/JimmyFallon/,Dollar Shave Club : https://www.facebook.com/DollarShaveClub/,ThirdLove : https://www.facebook.com/thirdlove/,,,,,,,,
10,https://www.facebook.com/viv.ahuja?ref=br_rs,,,,,,,,,,,,,
11,https://www.facebook.com/njennings3?ref=br_rs,,,,,,,,,,,,,
12,https://www.facebook.com/vanessabarrosrioseco?ref=br_rs,rolloid : https://www.facebook.com/Rolloid/,Gary Medel : https://www.facebook.com/garymedel/,,,,,,,,,,,
13,https://www.facebook.com/amy.waers?ref=br_rs,Nike+ Run Club : https://www.facebook.com/nikerunning/,Team USA : https://www.facebook.com/TeamUSA/,Google : https://www.facebook.com/Google/,One Medical : https://www.facebook.com/onemedical/,U.S. Soccer : https://www.facebook.com/officialussoccer/,,,,,,,,
14,https://www.facebook.com/matt.livingston.357?ref=br_rs,Ashley Bridget : https://www.facebook.com/ashleybridgetco/,Complex Style : https://www.facebook.com/complexSTYLE/,Brian Sugar : https://www.facebook.com/brianjsugar/,Coach : https://www.facebook.com/coach/,Steven T. Little - Peloton : https://www.facebook.com/steventlittlefitness/,Peloton : https://www.facebook.com/PelotonCycle/,Andrew Freund : https://www.facebook.com/AndrewFreundOfficial/,,,,,,
15,https://www.facebook.com/dgoldentyer?ref=br_rs,Hasbro Gaming : https://www.facebook.com/hasbrogaming/,University of California : https://www.facebook.com/universityofcalifornia/,Diet Coke : https://www.facebook.com/DietCoke/,Lee Jeans : https://www.facebook.com/leejeans/,,,,,,,,,
16,https://www.facebook.com/pf1977?ref=br_rs,eOne Films : https://www.facebook.com/eOneFilms/,Ted Baker : https://www.facebook.com/TedBaker/,Don Jon : https://www.facebook.com/DonJonMovie/,Elizabeth Banks : https://www.facebook.com/elizabethbanksitsreallyme/,Dear Frankie : https://www.facebook.com/DearFrankieMovie/,,,,,,,,
17,https://www.facebook.com/sandeep.s.kohli?ref=br_rs,Dreamforce : https://www.facebook.com/dreamforce/,,,,,,,,,,,,
18,https://www.facebook.com/will.swearingen.39?ref=br_rs,A Year of Books : https://www.facebook.com/ayearofbooks/,Amazon Lab126 : https://www.facebook.com/amazonlab126/,The Tonight Show Starring Jimmy Fallon : https://www.facebook.com/FallonTonight/,,,,,,,,,,
19,https://www.facebook.com/jyoti.ramnath?ref=br_rs,Jenna Wolfe : https://www.facebook.com/jennawolfefitness/,Facebook Careers : https://www.facebook.com/careersapac/,TransferWise : https://www.facebook.com/transferwise/,Etsy : https://www.facebook.com/Etsy/,Facebook Business : https://www.facebook.com/marketingchinese/,,,,,,,,
20,https://www.facebook.com/yacine?ref=br_rs,,,,,,,,,,,,,
21,https://www.facebook.com/raylan.givens.10?ref=br_rs,Yonanas : https://www.facebook.com/yonanas/,IZOD : https://www.facebook.com/IZOD.CN/,Nicole Ryan : https://www.facebook.com/MashUpNicole/,Erin Andrews : https://www.facebook.com/ErinAndrewsOfficial/,The Pittsburgh Steelers : https://www.facebook.com/steelers/,Dr. Seuss' The Lorax : https://www.facebook.com/theloraxmovie/,Funny Or Die : https://www.facebook.com/funnyordie/,,,,,,
22,https://www.facebook.com/bharat.tandon?ref=br_rs,The Tonight Show Starring Jimmy Fallon : https://www.facebook.com/FallonTonight/,NBC Bay Area : https://www.facebook.com/NBCBayArea/,Investopedia : https://www.facebook.com/Investopedia/,UC Berkeley : https://www.facebook.com/UCBerkeley/,ESPNcricinfo : https://www.facebook.com/Cricinfo/,Emirates : https://www.facebook.com/Emirates/,Google Fiber : https://www.facebook.com/GoogleFiber/,NDTV : https://www.facebook.com/ndtv/,NBC News : https://www.facebook.com/NBCNews/,CBS News : https://www.facebook.com/CBSNews/,Cirque du Soleil : https://www.facebook.com/CirqueduSoleil/,,
23,https://www.facebook.com/nathaniel.champ?ref=br_rs,Gary Johnson : https://www.facebook.com/govgaryjohnson/,Complex Style : https://www.facebook.com/complexSTYLE/,Private Island : https://www.facebook.com/PVTILND/,VentureBeat : https://www.facebook.com/venturebeat/,Fusion : https://www.facebook.com/fusionmedianetwork/,Transcendental Meditation : https://www.facebook.com/TMmeditation/,hunter lee soik : https://www.facebook.com/hunterleesoik/,Freshly : https://www.facebook.com/freshly/,Romina Puga : https://www.facebook.com/rominapugafusion/,,,,
24,https://www.facebook.com/genevieve.wang?ref=br_rs,Harvard Business Review : https://www.facebook.com/HBR/,The New York Times : https://www.facebook.com/nytimes/,Harvard University : https://www.facebook.com/Harvard/,INSIDER design : https://www.facebook.com/thisisinsiderdesign/,The Dodo : https://www.facebook.com/thedodosite/,Fortune : https://www.facebook.com/FortuneMagazine/,Adam Grant : https://www.facebook.com/AdamMGrant/,City of Boston : https://www.facebook.com/cityofboston/,,,,,
25,https://www.facebook.com/leonid.popov.5?ref=br_rs,TechCrunch : https://www.facebook.com/techcrunch/,,,,,,,,,,,,
26,https://www.facebook.com/alextleung?ref=br_rs,,,,,,,,,,,,,
27,https://www.facebook.com/nehamshah81?ref=br_rs,The Points Guy : https://www.facebook.com/thepointsguy/,Michelle Obama : https://www.facebook.com/michelleobama/,Fremont Police Department : https://www.facebook.com/FremontPoliceDepartment/,Sparsh Shah : https://www.facebook.com/purhythm/,All India Bakchod : https://www.facebook.com/IndiaBakchod/,,,,,,,,
28,https://www.facebook.com/ryan.evans.5099940?ref=br_rs,U.S. Department of the Interior : https://www.facebook.com/USInterior/,IKEA USA : https://www.facebook.com/IKEAUSA/,Ikea Hacker : https://www.facebook.com/IkeaHackers/,The Upshot : https://www.facebook.com/upshot/,Gary Sinise Foundation : https://www.facebook.com/GarySiniseFoundation/,,,,,,,,
29,https://www.facebook.com/pankaj.kamat?ref=br_rs,,,,,,,,,,,,,
30,https://www.facebook.com/matthew.melone?ref=br_rs,Hillary Clinton : https://www.facebook.com/hillaryclinton/,Geoff Lawton : https://www.facebook.com/geoff.lawton.12/,Calvin and Hobbes : https://www.facebook.com/CalvinAndHobbes/,,,,,,,,,,
31,https://www.facebook.com/vmohanam?ref=br_rs,,,,,,,,,,,,,
32,https://www.facebook.com/rekha.iyer.14?ref=br_rs,Calvin and Hobbes : https://www.facebook.com/CalvinAndHobbes/,Melinda Gates : https://www.facebook.com/melindagates/,Amy Cuddy : https://www.facebook.com/amycuddycommunity/,PBS KIDS : https://www.facebook.com/PBSKIDS/,,,,,,,,,
33,https://www.facebook.com/michael.b.s.rossiter?ref=br_rs,,,,,,,,,,,,,
34,https://www.facebook.com/haiyang.org?ref=br_rs,INSEAD Knowledge : https://www.facebook.com/Knowledge.insead/,INSEAD : https://www.facebook.com/insead/,,,,,,,,,,,
35,https://www.facebook.com/jakeqian?ref=br_rs,Last Week Tonight with John Oliver : https://www.facebook.com/LastWeekTonight/,Facebook Business : https://www.facebook.com/marketingchinese/,Facebook Design : https://www.facebook.com/design/,IDEO : https://www.facebook.com/IDEOprofile/,Yoobi : https://www.facebook.com/yoobi/,,,,,,,,
36,https://www.facebook.com/bganesan?ref=br_rs,US National Weather Service San Francisco Bay Area/Monterey California : https://www.facebook.com/NWSBayArea/,International Medical Corps : https://www.facebook.com/internationalmedicalcorps/,Kolkata Knight Riders : https://www.facebook.com/KolkataKnightRiders/,,,,,,,,,,
37,https://www.facebook.com/AlexanderCWhite?ref=br_rs,Ezra Klein : https://www.facebook.com/ezraklein/,Complex Style : https://www.facebook.com/complexSTYLE/,Dos Equis : https://www.facebook.com/DosEquis/,VICE : https://www.facebook.com/VICE/,Ted Baker : https://www.facebook.com/TedBaker/,,,,,,,,
38,https://www.facebook.com/josh.hogan.988?ref=br_rs,Parrot : https://www.facebook.com/Parrot/,iRobot : https://www.facebook.com/iRobot/,Cameron Beaubier : https://www.facebook.com/cameronbeaubier/,Ford Trucks : https://www.facebook.com/fordtrucks/,BMW : https://www.facebook.com/BMW/,Nest : https://www.facebook.com/nest/,,,,,,,
39,https://www.facebook.com/tom.matsuki?ref=br_rs,Haneda Airport International Terminal : https://www.facebook.com/TokyoInternationalAirTerminal.en/,easyJet : https://www.facebook.com/easyJet/,Avicii : https://www.facebook.com/avicii/,,,,,,,,,,
40,https://www.facebook.com/jaypmandal?ref=br_rs,,,,,,,,,,,,,
41,https://www.facebook.com/manoj.koshy?ref=br_rs,Super Bowl 50 : https://www.facebook.com/superbowl50/,UNICEF USA : https://www.facebook.com/UNICEF-USA/,Cal Bears : https://www.facebook.com/CalAthletics/,,,,,,,,,,
42,https://www.facebook.com/daniel.alonso.7399?ref=br_rs,Doug McMillon : https://www.facebook.com/dougmcmillon/,Specialized Bicycles : https://www.facebook.com/specializedbicycles/,LOEWE : https://www.facebook.com/LOEWE/,Strava : https://www.facebook.com/Strava/,AIDS/LifeCycle : https://www.facebook.com/AIDSLifeCycle/,Walmart : https://www.facebook.com/walmart/,Seleccin Espaola de Ftbol (SeFutbol) : https://www.facebook.com/SeFutbol/,,,,,,
43,https://www.facebook.com/Zyron?ref=br_rs,Olga Khazan : https://www.facebook.com/olga.khazan.writing/,GoldieBlox : https://www.facebook.com/GoldieBlox/,INSIDER design : https://www.facebook.com/thisisinsiderdesign/,,,,,,,,,,
44,https://www.facebook.com/hari.kathi.9?ref=br_rs,,,,,,,,,,,,,
45,https://www.facebook.com/chris.kasch?ref=br_rs,Purple Clover : https://www.facebook.com/purpleclvr/,The Atlantic : https://www.facebook.com/TheAtlantic/,Higher Perspective : https://www.facebook.com/HigherPerspective/,The New York Times Opinion Section : https://www.facebook.com/nytopinion/,Fusion : https://www.facebook.com/fusionmedianetwork/,Digital Trends : https://www.facebook.com/DigitalTrends/,,,,,,,
46,https://www.facebook.com/orion.parrott?ref=br_rs,Evernote : https://www.facebook.com/evernote/,Credit Karma : https://www.facebook.com/CreditKarma/,LendingTree : https://www.facebook.com/LendingTree/,Inverse : https://www.facebook.com/inverse/,The Next Web : https://www.facebook.com/thenextweb/,Mashable - Tech : https://www.facebook.com/mashable.tech/,Ars Technica : https://www.facebook.com/arstechnica/,The New Yorker : https://www.facebook.com/newyorker/,Business Insider : https://www.facebook.com/businessinsider/,Tech Insider : https://www.facebook.com/techinsider/,Recode : https://www.facebook.com/RecodeDotNet/,,
47,https://www.facebook.com/brandon.middleton?ref=br_rs,Yahoo Style + Beauty : https://www.facebook.com/yahoostylebeauty/,We Are Cisco : https://www.facebook.com/WeAreCisco/,The Primary School : https://www.facebook.com/theprimaryschool/,Tim Wise : https://www.facebook.com/timjacobwise/,Michelle Alexander : https://www.facebook.com/Michelle-Alexander-168304409924191/,Hennessy : https://www.facebook.com/Hennessy-151076215266824/,,,,,,,
